age,years_with_bank,income,credit_score,has_loan,loan_amount,dti,missed_payments,prob_default,default,employment_status,housing
43,14,32499.95,583,0,0.0,0.0,0,0.0,0,employed,villa
22,4,9499.21,512,0,0.0,0.0,0,0.0,0,student,inneboende
88,15,13185.82,588,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
50,25,63537.42,647,1,7130.47,0.112,2,0.1851,1,employed,villa
83,25,23877.3,600,0,0.0,0.0,0,0.0,0,retired,hyresrätt
67,11,15706.61,551,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
74,37,15902.09,544,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
73,17,22091.69,667,1,15173.07,0.687,0,0.3144,1,retired,bostadsrätt
32,2,24107.76,507,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
44,25,43002.99,611,1,4031.38,0.094,1,0.1155,0,employed,inneboende
52,31,52914.1,600,1,15101.31,0.285,1,0.1637,1,employed,villa
54,1,44332.57,560,1,7701.93,0.174,1,0.2286,0,employed,villa
21,3,18318.72,550,0,0.0,0.0,0,0.0,0,student,inneboende
57,37,22619.28,546,0,0.0,0.0,0,0.0,0,employed,villa
29,9,39299.57,580,1,7653.98,0.195,2,0.3155,1,employed,bostadsrätt
72,10,13670.72,556,0,0.0,0.0,0,0.0,0,retired,hyresrätt
67,25,17608.64,662,0,0.0,0.0,0,0.0,0,retired,villa
85,22,27715.5,604,0,0.0,0.0,0,0.0,0,retired,hyresrätt
72,25,23298.74,580,1,3285.71,0.141,2,0.2819,0,retired,bostadsrätt
44,16,31627.55,584,1,6926.47,0.219,0,0.1129,0,employed,hyresrätt
88,26,27788.76,637,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
47,15,45319.66,532,0,0.0,0.0,0,0.0,0,employed,hyresrätt
41,16,45193.92,564,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
84,21,18325.62,477,0,0.0,0.0,0,0.0,0,retired,villa
45,0,20248.2,565,0,0.0,0.0,0,0.0,0,employed,hyresrätt
23,0,43148.66,594,1,19313.56,0.448,1,0.3602,0,employed,hyresrätt
52,33,33928.97,533,0,0.0,0.0,0,0.0,0,employed,villa
76,37,29966.71,630,0,0.0,0.0,0,0.0,0,retired,hyresrätt
31,8,62614.12,552,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
51,5,63888.28,566,0,0.0,0.0,0,0.0,0,employed,villa
27,7,28718.67,558,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
68,5,29114.81,616,0,0.0,0.0,0,0.0,0,retired,hyresrätt
52,13,50451.43,540,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
42,8,49100.25,582,0,0.0,0.0,0,0.0,0,employed,inneboende
34,0,35747.22,586,0,0.0,0.0,0,0.0,0,employed,hyresrätt
59,33,55349.98,613,1,813.76,0.015,0,0.0472,0,employed,bostadsrätt
66,20,25004.13,582,0,0.0,0.0,0,0.0,0,retired,hyresrätt
86,12,19034.7,579,0,0.0,0.0,0,0.0,0,retired,inneboende
49,16,21546.0,531,0,0.0,0.0,0,0.0,0,employed,hyresrätt
29,0,47737.18,632,1,23349.26,0.489,3,0.654,0,employed,hyresrätt
78,17,17104.42,545,0,0.0,0.0,0,0.0,0,retired,hyresrätt
63,21,45577.35,565,0,0.0,0.0,0,0.0,0,employed,inneboende
69,13,17502.68,602,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
25,6,42171.24,538,0,0.0,0.0,0,0.0,0,employed,hyresrätt
40,5,39451.44,573,1,18276.26,0.463,1,0.3591,0,employed,hyresrätt
74,5,27725.55,522,0,0.0,0.0,0,0.0,0,retired,villa
78,21,16669.21,653,0,0.0,0.0,0,0.0,0,retired,hyresrätt
49,28,22537.63,653,1,8482.24,0.376,0,0.1119,0,employed,bostadsrätt
76,15,12372.74,540,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
79,1,15830.19,560,0,0.0,0.0,0,0.0,0,retired,villa
46,28,24108.86,562,1,7688.93,0.319,0,0.1207,0,employed,bostadsrätt
83,18,23123.05,541,0,0.0,0.0,0,0.0,0,retired,villa
39,3,43399.99,567,0,0.0,0.0,0,0.0,0,employed,hyresrätt
35,11,38841.77,562,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
67,13,16423.32,486,0,0.0,0.0,0,0.0,0,retired,hyresrätt
64,38,35396.13,588,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
28,3,54030.77,569,1,18451.29,0.341,3,0.5876,0,employed,bostadsrätt
78,22,18416.28,566,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
32,8,38014.28,558,0,0.0,0.0,0,0.0,0,employed,villa
76,9,16062.82,530,0,0.0,0.0,0,0.0,0,retired,villa
18,0,11767.68,570,0,0.0,0.0,0,0.0,0,student,hyresrätt
76,20,18729.86,574,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
75,4,26853.31,606,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
74,26,21074.32,578,0,0.0,0.0,0,0.0,0,retired,inneboende
66,31,28304.18,559,1,14534.53,0.514,1,0.2824,1,retired,hyresrätt
52,33,69537.72,626,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
69,13,21703.8,472,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
38,5,18838.59,628,1,718.36,0.038,2,0.2268,0,employed,hyresrätt
74,22,14643.72,562,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
58,28,36695.53,660,1,15011.9,0.409,2,0.3093,0,employed,hyresrätt
51,33,47843.97,549,0,0.0,0.0,0,0.0,0,employed,hyresrätt
54,0,52899.14,524,0,0.0,0.0,0,0.0,0,employed,villa
59,9,38952.47,577,1,7325.95,0.188,2,0.3133,0,employed,hyresrätt
20,0,12377.51,550,0,0.0,0.0,0,0.0,0,student,hyresrätt
28,2,46272.64,578,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
35,8,36924.06,568,1,15650.71,0.424,1,0.3258,0,employed,bostadsrätt
26,7,35920.21,534,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
50,1,52445.62,509,0,0.0,0.0,0,0.0,0,employed,inneboende
66,33,20643.85,574,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
65,25,12110.0,499,0,0.0,0.0,0,0.0,0,retired,hyresrätt
52,21,37981.24,514,0,0.0,0.0,0,0.0,0,employed,hyresrätt
80,27,25010.55,547,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
59,4,38221.53,576,1,7948.55,0.208,2,0.3474,1,employed,hyresrätt
23,4,30904.24,633,1,12548.06,0.406,2,0.435,1,employed,villa
73,10,23757.06,590,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
59,21,31946.91,621,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
64,27,39751.12,600,0,0.0,0.0,0,0.0,0,employed,villa
59,24,27528.69,577,1,1864.44,0.068,0,0.0694,0,employed,villa
58,13,24631.39,654,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
24,2,54672.3,518,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
58,19,28364.11,544,0,0.0,0.0,0,0.0,0,employed,hyresrätt
76,1,28748.91,536,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
40,16,51454.18,613,0,0.0,0.0,0,0.0,0,employed,hyresrätt
62,4,50971.65,530,1,2350.51,0.046,3,0.4178,0,employed,bostadsrätt
20,1,13169.88,568,0,0.0,0.0,0,0.0,0,student,inneboende
43,17,43634.4,594,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
49,2,48688.04,599,0,0.0,0.0,0,0.0,0,employed,hyresrätt
89,40,21317.54,599,0,0.0,0.0,0,0.0,0,retired,hyresrätt
33,6,45100.27,627,0,0.0,0.0,0,0.0,0,employed,villa
38,0,17953.57,538,0,0.0,0.0,0,0.0,0,employed,hyresrätt
47,19,33657.6,586,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
90,22,26682.42,531,0,0.0,0.0,0,0.0,0,retired,villa
80,26,18626.17,518,0,0.0,0.0,0,0.0,0,retired,hyresrätt
20,2,15232.44,610,0,0.0,0.0,0,0.0,0,student,villa
35,8,39241.84,530,0,0.0,0.0,0,0.0,0,employed,hyresrätt
77,33,14698.79,583,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
22,1,12149.22,558,0,0.0,0.0,0,0.0,0,student,hyresrätt
80,22,18085.5,601,0,0.0,0.0,0,0.0,0,retired,hyresrätt
38,3,42115.32,495,0,0.0,0.0,0,0.0,0,employed,hyresrätt
84,25,27768.15,599,0,0.0,0.0,0,0.0,0,retired,villa
39,5,22332.75,545,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
49,22,36576.42,544,0,0.0,0.0,0,0.0,0,employed,villa
66,32,24476.96,555,1,6927.97,0.283,2,0.281,1,retired,bostadsrätt
27,8,40787.2,605,0,0.0,0.0,0,0.0,0,employed,villa
58,38,57608.01,624,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
54,4,21088.92,540,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
75,5,13573.47,494,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
90,37,17258.52,519,0,0.0,0.0,0,0.0,0,retired,hyresrätt
66,15,15826.47,578,0,0.0,0.0,0,0.0,0,retired,villa
47,0,37681.0,505,0,0.0,0.0,0,0.0,0,employed,villa
47,8,44804.73,562,0,0.0,0.0,0,0.0,0,employed,hyresrätt
48,25,48942.48,687,1,25221.51,0.515,0,0.1495,1,employed,villa
77,14,31388.89,578,0,0.0,0.0,0,0.0,0,retired,hyresrätt
41,1,31517.82,582,1,11990.72,0.38,1,0.3239,1,employed,bostadsrätt
30,9,42276.71,523,0,0.0,0.0,0,0.0,0,employed,villa
42,4,50849.07,520,0,0.0,0.0,0,0.0,0,employed,hyresrätt
19,0,8428.28,565,0,0.0,0.0,0,0.0,0,student,hyresrätt
25,0,37624.63,545,0,0.0,0.0,0,0.0,0,employed,villa
24,4,37069.16,605,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
74,18,21365.95,560,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
70,35,25093.94,709,1,9519.82,0.379,0,0.1142,0,retired,villa
68,13,20704.23,531,0,0.0,0.0,0,0.0,0,retired,hyresrätt
51,6,54982.79,589,0,0.0,0.0,0,0.0,0,employed,hyresrätt
70,6,21605.82,515,0,0.0,0.0,0,0.0,0,retired,inneboende
29,2,36494.84,602,1,15657.35,0.429,0,0.2173,0,employed,bostadsrätt
83,18,15484.13,571,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
54,3,31436.49,519,0,0.0,0.0,0,0.0,0,employed,hyresrätt
86,16,23227.43,545,0,0.0,0.0,0,0.0,0,retired,inneboende
29,10,43847.22,626,0,0.0,0.0,0,0.0,0,employed,hyresrätt
54,28,47194.2,635,1,11348.01,0.24,0,0.085,1,employed,hyresrätt
68,26,10019.85,497,0,0.0,0.0,0,0.0,0,retired,hyresrätt
54,33,65052.57,583,1,25475.39,0.392,0,0.1245,0,employed,bostadsrätt
50,25,31025.69,643,0,0.0,0.0,0,0.0,0,employed,hyresrätt
30,8,20566.92,545,0,0.0,0.0,0,0.0,0,employed,hyresrätt
45,24,27393.36,574,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
35,2,31556.18,598,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
40,18,28308.08,510,0,0.0,0.0,0,0.0,0,employed,hyresrätt
67,12,22801.08,518,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
64,30,55031.86,579,0,0.0,0.0,0,0.0,0,employed,hyresrätt
62,37,58475.91,647,0,0.0,0.0,0,0.0,0,employed,hyresrätt
44,13,46051.7,615,0,0.0,0.0,0,0.0,0,employed,hyresrätt
88,3,22172.19,578,0,0.0,0.0,0,0.0,0,retired,inneboende
24,2,35723.52,554,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
43,10,20409.77,598,1,4348.28,0.213,0,0.1201,0,employed,hyresrätt
26,8,52638.14,571,0,0.0,0.0,0,0.0,0,employed,hyresrätt
42,23,17936.87,581,0,0.0,0.0,0,0.0,0,employed,hyresrätt
88,23,22954.67,599,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
44,25,46241.35,650,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
84,17,21565.15,555,0,0.0,0.0,0,0.0,0,retired,hyresrätt
54,15,37708.57,555,0,0.0,0.0,0,0.0,0,employed,villa
69,34,23678.24,621,1,5988.18,0.253,2,0.2829,0,retired,bostadsrätt
51,22,39870.37,630,1,10825.71,0.272,3,0.4099,0,employed,hyresrätt
37,10,52043.95,556,1,11354.47,0.218,0,0.1334,0,employed,hyresrätt
73,18,25994.65,517,0,0.0,0.0,0,0.0,0,retired,hyresrätt
88,28,28166.99,618,0,0.0,0.0,0,0.0,0,retired,villa
37,15,25029.54,493,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
74,20,15745.34,487,0,0.0,0.0,0,0.0,0,retired,villa
37,0,44708.01,555,0,0.0,0.0,0,0.0,0,employed,hyresrätt
70,4,16531.41,546,0,0.0,0.0,0,0.0,0,retired,hyresrätt
75,5,22579.33,505,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
50,15,13470.89,555,1,3907.8,0.29,0,0.1442,1,employed,bostadsrätt
71,25,29662.98,575,0,0.0,0.0,0,0.0,0,retired,hyresrätt
37,16,29227.51,540,1,7652.24,0.262,0,0.1376,1,employed,hyresrätt
23,1,48268.75,647,0,0.0,0.0,0,0.0,0,employed,inneboende
25,6,30926.68,572,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
50,21,28145.19,606,1,5455.95,0.194,2,0.2526,0,employed,hyresrätt
83,2,19446.34,485,0,0.0,0.0,0,0.0,0,retired,villa
27,3,68292.39,524,0,0.0,0.0,0,0.0,0,employed,hyresrätt
51,10,48988.36,590,0,0.0,0.0,0,0.0,0,employed,villa
69,36,13872.52,633,0,0.0,0.0,0,0.0,0,retired,villa
32,13,44306.22,529,0,0.0,0.0,0,0.0,0,employed,hyresrätt
70,33,22862.65,570,0,0.0,0.0,0,0.0,0,retired,inneboende
40,12,26531.92,505,0,0.0,0.0,0,0.0,0,employed,hyresrätt
77,20,23457.82,528,0,0.0,0.0,0,0.0,0,retired,hyresrätt
60,12,60758.49,590,1,16946.13,0.279,0,0.137,1,employed,bostadsrätt
57,30,58328.63,571,1,18857.06,0.323,0,0.1154,0,employed,bostadsrätt
30,1,44713.82,510,1,6037.28,0.135,3,0.5027,1,employed,hyresrätt
51,9,41621.38,512,1,15092.68,0.363,1,0.3184,0,employed,hyresrätt
80,5,16675.82,467,0,0.0,0.0,0,0.0,0,retired,hyresrätt
19,0,10084.27,553,0,0.0,0.0,0,0.0,0,student,hyresrätt
73,12,27239.06,579,0,0.0,0.0,0,0.0,0,retired,hyresrätt
53,7,41576.99,587,1,9394.24,0.226,0,0.1334,0,employed,hyresrätt
70,15,27432.21,521,0,0.0,0.0,0,0.0,0,retired,inneboende
66,35,24334.52,607,0,0.0,0.0,0,0.0,0,retired,villa
49,17,56563.67,610,1,18650.77,0.33,1,0.2209,1,employed,inneboende
40,18,39158.99,568,1,7839.84,0.2,2,0.2869,1,employed,hyresrätt
63,37,18919.19,557,1,8656.94,0.458,0,0.1429,1,employed,hyresrätt
28,9,28908.81,529,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
60,14,24669.54,562,1,10938.9,0.443,0,0.2009,0,employed,bostadsrätt
24,6,38419.08,625,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
65,37,17788.38,608,1,2536.48,0.143,2,0.1762,0,retired,hyresrätt
63,39,33961.4,566,1,12862.87,0.379,1,0.1884,0,employed,villa
24,2,49324.56,588,1,25497.87,0.517,1,0.3969,1,employed,bostadsrätt
73,9,18675.59,502,1,2946.51,0.158,0,0.1723,0,retired,bostadsrätt
48,18,52747.75,608,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
75,38,20567.33,532,0,0.0,0.0,0,0.0,0,retired,hyresrätt
21,3,9158.81,563,1,1553.86,0.17,0,0.1862,0,student,hyresrätt
31,7,33226.14,676,1,13631.32,0.41,2,0.3961,0,employed,inneboende
54,5,29160.04,530,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
31,5,27684.39,668,0,0.0,0.0,0,0.0,0,employed,hyresrätt
42,17,37468.71,586,1,3893.87,0.104,1,0.1436,0,employed,hyresrätt
66,22,31562.09,534,0,0.0,0.0,0,0.0,0,retired,hyresrätt
28,3,43534.75,531,0,0.0,0.0,0,0.0,0,employed,villa
67,14,12394.33,639,0,0.0,0.0,0,0.0,0,retired,villa
25,0,41940.05,579,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
30,3,23784.98,524,0,0.0,0.0,0,0.0,0,employed,inneboende
60,27,35424.48,562,1,6495.9,0.183,1,0.1521,1,employed,hyresrätt
75,9,29268.29,572,0,0.0,0.0,0,0.0,0,retired,villa
30,12,67648.45,587,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
39,1,27063.99,562,0,0.0,0.0,0,0.0,0,employed,villa
85,24,24012.78,631,0,0.0,0.0,0,0.0,0,retired,villa
90,20,12735.92,503,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
60,34,29561.56,596,0,0.0,0.0,0,0.0,0,employed,hyresrätt
50,29,31420.32,566,1,4643.93,0.148,0,0.0788,0,employed,hyresrätt
43,14,49888.8,554,0,0.0,0.0,0,0.0,0,employed,hyresrätt
62,25,34143.33,611,1,14071.24,0.412,1,0.2297,0,employed,hyresrätt
61,28,66991.75,538,1,13139.46,0.196,1,0.1622,1,employed,hyresrätt
39,11,44991.75,474,1,11576.8,0.257,0,0.1712,0,employed,bostadsrätt
19,0,12513.72,545,0,0.0,0.0,0,0.0,0,student,hyresrätt
29,5,35599.54,552,0,0.0,0.0,0,0.0,0,employed,villa
87,9,25894.37,498,0,0.0,0.0,0,0.0,0,retired,hyresrätt
48,14,49600.82,506,0,0.0,0.0,0,0.0,0,employed,hyresrätt
53,22,20334.64,633,0,0.0,0.0,0,0.0,0,employed,hyresrätt
52,7,23908.58,568,0,0.0,0.0,0,0.0,0,employed,inneboende
75,10,16705.78,546,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
22,4,16119.52,629,0,0.0,0.0,0,0.0,0,student,hyresrätt
24,2,54796.72,612,0,0.0,0.0,0,0.0,0,employed,hyresrätt
38,4,56566.51,644,1,10620.44,0.188,0,0.1131,0,employed,hyresrätt
53,25,46357.62,531,0,0.0,0.0,0,0.0,0,employed,inneboende
66,29,28392.28,517,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
53,29,49535.51,608,0,0.0,0.0,0,0.0,0,employed,hyresrätt
50,25,26265.99,579,0,0.0,0.0,0,0.0,0,employed,hyresrätt
86,40,30315.57,624,0,0.0,0.0,0,0.0,0,retired,hyresrätt
29,6,45239.65,501,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
59,11,27931.86,583,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
57,34,39216.32,617,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
52,9,41435.52,602,1,19569.05,0.472,1,0.3296,1,employed,hyresrätt
76,11,16094.55,529,0,0.0,0.0,0,0.0,0,retired,hyresrätt
37,16,51253.5,597,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
87,36,22070.14,534,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
42,8,42340.0,553,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
57,29,34695.82,529,0,0.0,0.0,0,0.0,0,employed,villa
56,35,41293.15,550,1,7064.92,0.171,0,0.0775,0,employed,villa
80,32,21767.87,553,0,0.0,0.0,0,0.0,0,retired,villa
50,0,37642.85,536,0,0.0,0.0,0,0.0,0,employed,hyresrätt
38,13,71418.08,561,0,0.0,0.0,0,0.0,0,employed,villa
19,0,12006.45,484,0,0.0,0.0,0,0.0,0,student,villa
44,22,45402.94,654,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
78,2,22850.94,525,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
18,0,11750.0,549,0,0.0,0.0,0,0.0,0,student,hyresrätt
83,40,25692.71,500,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
57,7,49208.23,624,1,4372.64,0.089,0,0.0893,0,employed,villa
28,4,42578.69,569,0,0.0,0.0,0,0.0,0,employed,inneboende
40,5,52410.28,553,1,4349.07,0.083,1,0.1801,0,employed,bostadsrätt
58,33,55260.22,573,1,22327.83,0.404,1,0.2157,0,employed,inneboende
41,9,43397.19,601,0,0.0,0.0,0,0.0,0,employed,hyresrätt
25,5,38624.65,442,0,0.0,0.0,0,0.0,0,employed,inneboende
66,2,24066.86,513,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
67,18,28490.7,555,1,11820.22,0.415,1,0.2855,0,retired,bostadsrätt
26,8,31384.48,551,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
38,19,39360.4,669,1,19179.66,0.487,1,0.2603,0,employed,inneboende
35,3,19103.72,530,1,2117.72,0.111,1,0.2072,1,employed,hyresrätt
66,16,18963.08,590,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
71,16,18779.45,623,1,4982.53,0.265,0,0.149,0,retired,villa
71,23,15991.79,579,0,0.0,0.0,0,0.0,0,retired,hyresrätt
86,22,11554.51,521,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
74,4,26064.4,498,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
41,18,35876.16,595,0,0.0,0.0,0,0.0,0,employed,villa
25,1,39191.55,624,1,26026.91,0.664,1,0.4731,1,employed,villa
62,12,39284.47,586,1,10003.89,0.255,0,0.1307,0,employed,hyresrätt
84,34,26509.5,617,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
89,28,21726.18,664,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
34,6,52977.69,605,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
35,16,14747.13,503,0,0.0,0.0,0,0.0,0,employed,hyresrätt
20,1,18346.89,543,0,0.0,0.0,0,0.0,0,student,hyresrätt
28,6,34373.21,612,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
58,10,45025.5,558,0,0.0,0.0,0,0.0,0,employed,hyresrätt
57,7,22548.49,608,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
45,13,34002.58,558,0,0.0,0.0,0,0.0,0,employed,hyresrätt
40,12,38771.68,578,0,0.0,0.0,0,0.0,0,employed,villa
78,33,30437.0,556,0,0.0,0.0,0,0.0,0,retired,villa
51,13,43986.22,575,1,9478.53,0.215,3,0.4529,0,employed,bostadsrätt
77,36,8463.59,563,0,0.0,0.0,0,0.0,0,retired,villa
88,24,18189.96,491,0,0.0,0.0,0,0.0,0,retired,inneboende
41,1,50632.62,549,1,15030.22,0.297,2,0.4329,0,employed,villa
32,11,25590.7,504,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
87,23,30175.89,548,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
64,15,39890.55,535,1,15138.17,0.379,4,0.7113,1,employed,villa
39,10,35370.6,601,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
63,12,72349.02,632,1,27274.49,0.377,0,0.1551,0,employed,bostadsrätt
55,23,35047.22,590,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
84,23,31393.39,514,0,0.0,0.0,0,0.0,0,retired,hyresrätt
36,8,30804.39,552,1,6402.24,0.208,1,0.2233,0,employed,villa
90,11,22100.09,496,0,0.0,0.0,0,0.0,0,retired,villa
86,16,22440.97,548,0,0.0,0.0,0,0.0,0,retired,hyresrätt
31,6,32944.43,582,0,0.0,0.0,0,0.0,0,employed,hyresrätt
30,6,39343.58,601,0,0.0,0.0,0,0.0,0,employed,inneboende
56,12,29256.64,576,1,6209.57,0.212,2,0.3148,0,employed,hyresrätt
21,2,12757.04,588,0,0.0,0.0,0,0.0,0,student,villa
39,4,52441.55,581,1,13400.44,0.256,0,0.1521,0,employed,bostadsrätt
49,16,33351.99,553,1,6353.12,0.19,3,0.4364,0,employed,bostadsrätt
88,4,31826.48,589,0,0.0,0.0,0,0.0,0,retired,hyresrätt
90,19,10535.93,582,0,0.0,0.0,0,0.0,0,retired,hyresrätt
29,9,30374.86,535,0,0.0,0.0,0,0.0,0,employed,bostadsrätt
83,33,27831.12,583,0,0.0,0.0,0,0.0,0,retired,bostadsrätt
